target_variable,data_set_num,top_1_matched_variable,top_2_matched_variable,top_3_matched_variable,top_4_matched_variable,top_5_matched_variable
"Distance over dirt or unimproved roads: average distance, miles",DS_32,VAR299,VAR300,VAR11,VAR12,VAR264
"Distance over dirt or unimproved roads: average distance, miles",DS_33,ITEM01003,ITEM01066,ITEM01067,ITEM02041,ITEM02027
"Distance over dirt or unimproved roads: average distance, miles",DS_34,ITEM01003,ITEM01066,ITEM01067,ITEM02041,ITEM02027
"Distance over dirt or unimproved roads: average distance, miles",DS_35,ITEM019,ITEM132,ITEM110,ITEM111,ITEM135
"Distance over dirt or unimproved roads: average distance, miles",DS_36,ITEM01003,ITEM01066,ITEM01067,ITEM02041,ITEM02027
"Distance over dirt or unimproved roads: average distance, miles",DS_37,ITEM01003,ITEM01066,ITEM01067,ITEM02041,ITEM02027
"Distance over dirt or unimproved roads: average distance, miles",DS_38,ITEM019,ITEM132,ITEM110,ITEM111,ITEM135
"Distance over dirt or unimproved roads: average distance, miles",DS_39,ITEM01003,ITEM01034,ITEM05003,ITEM05036,ITEM05037
"Distance over dirt or unimproved roads: average distance, miles",DS_40,ITEM01003,ITEM01034,ITEM05003,ITEM05036,ITEM05037
"Distance over dirt or unimproved roads: average distance, miles",DS_41,ITEM01003,ITEM01034,ITEM05003,ITEM05036,ITEM05037
"Distance over dirt or unimproved roads: average distance, miles",DS_42,ITEM010003,ITEM060003,ITEM060017,ITEM120003,ITEM130074
"Distance over dirt or unimproved roads: average distance, miles",DS_43,ITEM01058,ITEM01059,ITEM01060,ITEM01064,ITEM01065
"Distance over dirt or unimproved roads: average distance, miles",DS_44,ITEM23026,ITEM23028,ITEM23030,ITEM01003,ITEM01013
"Distance over dirt or unimproved roads: average distance, miles",DS_45,FILE,DC,STATE,COUNTY,NAME
"Distance over dirt or unimproved roads: average distance, miles",DS_46,STATEICP,COUNTYICP,NAME,LEVEL,STATEFIP
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_1,STATE,COUNTY,NAME,FAVAL850,FAVAL860
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_2,FILE,MD,IA,STATE,COUNTY
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_3,FILE,MD,IA,STATE,COUNTY
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_4,FILE,MD,IA,STATE,COUNTY
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_5,EQUIPVAL,FARMVAL,FARMOUT,LIVSTOCK,FILE
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_6,FARMSIZE,EQUIPVAL,LIVSTOCK,FARMOUT,FILE
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_7,FARMOWN,EQUIPVAL,LIVSTOCK,FARMRENT,FARMSIZE
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_8,FARMLAB,FARMBUI,FARMEQUI,LIVSTOCK,FARMSIZE
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_9,FARMBUI,FARBUI00,FARMEQUI,FARMEQ00,LIVSTOCK
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_10,VAR24,VAR25,VAR26,VAR308,VAR309
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_11,VAR24,VAR25,VAR26,VAR308,VAR309
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_12,VAR182,VAR183,VAR336,VAR341,VAR346
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_13,VAR1009,VAR1007,VAR1008,VAR1067,VAR1068
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_14,VAR1631,VAR1632,VAR1638,VAR1640,VAR1642
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_15,VAR259,VAR260,VAR261,VAR263,VAR262
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_16,VAR535,VAR536,VAR537,VAR538,VAR564
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_17,VAR2236,VAR2238,VAR2163,VAR2166,VAR2167
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_18,VAR535,VAR536,VAR537,VAR538,VAR564
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_19,VAR2671,VAR2507,VAR2526,VAR2535,VAR2547
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_20,VAR109,VAR112,VAR110,VAR108,VAR117
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_21,VAR273,VAR272,VAR279,VAR1600,VAR1601
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_22,ITEM030,ITEM110,ITEM111,ITEM410,ITEM031
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_23,VAR334,VAR303,VAR304,VAR333,VAR301
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_24,I,II,STATE,COUNTY,NAME
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_25,VAR293,VAR292,VAR301,VAR294,VAR300
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_26,ITEM030,ITEM110,ITEM111,ITEM410,ITEM031
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_27,VAR553,VAR296,VAR561,VAR700,VAR702
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_28,ITEM030,ITEM110,ITEM111,ITEM410,ITEM031
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_29,VAR334,VAR303,VAR304,VAR333,VAR301
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_30,VAR498,VAR499,VAR450,VAR451,VAR676
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_31,ITEM030,ITEM239,ITEM132,ITEM110,ITEM111
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_32,VAR334,VAR303,VAR304,VAR333,VAR301
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_33,ITEM05044,ITEM05045,ITEM02027,ITEM02028,ITEM05046
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_34,ITEM15001,ITEM15002,ITEM15017,ITEM15025,ITEM05044
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_35,ITEM030,ITEM239,ITEM132,ITEM110,ITEM111
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_36,ITEM05044,ITEM05045,ITEM02027,ITEM02028,ITEM05046
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_37,ITEM15001,ITEM15002,ITEM15017,ITEM15025,ITEM05044
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_38,ITEM030,ITEM239,ITEM132,ITEM110,ITEM111
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_39,ITEM03028,ITEM03029,ITEM16147,ITEM16148,ITEM03030
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_40,ITEM03028,ITEM03029,ITEM16147,ITEM16148,ITEM03030
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_41,ITEM03028,ITEM03029,ITEM16147,ITEM16148,ITEM03030
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_42,ITEM050002,ITEM030028,ITEM030029,ITEM050001,ITEM050003
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_43,ITEM05002,ITEM05008,ITEM05009,ITEM05012,ITEM05013
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_44,ITEM07002,ITEM07009,ITEM07013,ITEM07008,ITEM07012
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_45,FILE,DC,STATE,COUNTY,NAME
"Farm labor: week preceding enumeration: family &/or hired workers, persons",DS_46,STATEICP,COUNTYICP,NAME,LEVEL,STATEFIP
Specified farm expenditures: farms reporting,DS_1,FAVAL850,FAVAL860,FAVAL870,FAVAL880,FAVAL890
Specified farm expenditures: farms reporting,DS_2,FILE,MD,IA,STATE,COUNTY
Specified farm expenditures: farms reporting,DS_3,FARMS,ACIMP,ACUNIMP,FARMVAL,FILE
Specified farm expenditures: farms reporting,DS_4,ACIMP,ACUNIMP,FARMVAL,FARM39,FARM1019
Specified farm expenditures: farms reporting,DS_5,EQUIPVAL,FARMS,FARMVAL,FARMOUT,LIVSTOCK
Specified farm expenditures: farms reporting,DS_6,FARMS,FARMOWN,FARMS2,ACRES,FARM02
Specified farm expenditures: farms reporting,DS_7,FARMOWN,EQUIPVAL,LIVSTOCK,FARMRENT,FAOWN80
Specified farm expenditures: farms reporting,DS_8,FARREPAN,FARMWHOW,FARMWHMA,FARMCOOW,FARMCOMA
Specified farm expenditures: farms reporting,DS_9,FARELIVS,FRELABOR,FREFERT,FREFEED,LIVSTK2
Specified farm expenditures: farms reporting,DS_10,VAR54,VAR307,VAR311,VAR313,VAR55
Specified farm expenditures: farms reporting,DS_11,VAR54,VAR307,VAR311,VAR313,VAR55
Specified farm expenditures: farms reporting,DS_12,VAR179,VAR181,VAR183,VAR185,VAR178
Specified farm expenditures: farms reporting,DS_13,VAR1015,VAR1019,VAR1024,VAR1017,VAR1006
Specified farm expenditures: farms reporting,DS_14,VAR2042,VAR2043,VAR1560,VAR1552,VAR1553
Specified farm expenditures: farms reporting,DS_15,VAR238,VAR240,VAR242,VAR157,VAR190
Specified farm expenditures: farms reporting,DS_16,VAR569,VAR573,VAR575,VAR17,VAR364
Specified farm expenditures: farms reporting,DS_17,VAR2203,VAR2204,VAR2181,VAR2166,VAR2167
Specified farm expenditures: farms reporting,DS_18,VAR569,VAR573,VAR575,VAR2203,VAR2204
Specified farm expenditures: farms reporting,DS_19,VAR2611,VAR2673,VAR2607,VAR2615,VAR2619
Specified farm expenditures: farms reporting,DS_20,VAR111,VAR116,VAR531,VAR114,VAR553
Specified farm expenditures: farms reporting,DS_21,VAR280,VAR282,VAR284,VAR294,VAR1692
Specified farm expenditures: farms reporting,DS_22,ITEM071,ITEM004,ITEM005,ITEM006,ITEM007
Specified farm expenditures: farms reporting,DS_23,VAR427,VAR416,VAR425,VAR347,VAR421
Specified farm expenditures: farms reporting,DS_24,VAR9,VAR12,VAR15,VAR21,VAR6
Specified farm expenditures: farms reporting,DS_25,VAR306,VAR308,VAR310,VAR322,VAR318
Specified farm expenditures: farms reporting,DS_26,ITEM071,ITEM004,ITEM005,ITEM006,ITEM007
Specified farm expenditures: farms reporting,DS_27,VAR691,VAR696,VAR687,VAR689,VAR709
Specified farm expenditures: farms reporting,DS_28,ITEM071,ITEM004,ITEM005,ITEM006,ITEM007
Specified farm expenditures: farms reporting,DS_29,VAR427,VAR416,VAR425,VAR347,VAR421
Specified farm expenditures: farms reporting,DS_30,VAR244,VAR243,VAR644,VAR666,VAR324
Specified farm expenditures: farms reporting,DS_31,ITEM030,ITEM071,ITEM004,ITEM002,ITEM005
Specified farm expenditures: farms reporting,DS_32,VAR427,VAR416,VAR425,VAR347,VAR421
Specified farm expenditures: farms reporting,DS_33,ITEM05001,ITEM05032,ITEM02002,ITEM04008,ITEM05018
Specified farm expenditures: farms reporting,DS_34,ITEM05001,ITEM05032,ITEM02002,ITEM04008,ITEM05018
Specified farm expenditures: farms reporting,DS_35,ITEM030,ITEM071,ITEM004,ITEM002,ITEM005
Specified farm expenditures: farms reporting,DS_36,ITEM05001,ITEM05032,ITEM02002,ITEM04008,ITEM05018
Specified farm expenditures: farms reporting,DS_37,ITEM05001,ITEM05032,ITEM02002,ITEM04008,ITEM05018
Specified farm expenditures: farms reporting,DS_38,ITEM030,ITEM071,ITEM004,ITEM002,ITEM005
Specified farm expenditures: farms reporting,DS_39,ITEM03001,ITEM03026,ITEM21001,ITEM21003,ITEM21007
Specified farm expenditures: farms reporting,DS_40,ITEM03001,ITEM03026,ITEM21001,ITEM21003,ITEM21007
Specified farm expenditures: farms reporting,DS_41,ITEM03001,ITEM03026,ITEM21001,ITEM21003,ITEM21007
Specified farm expenditures: farms reporting,DS_42,ITEM030028,ITEM050001,ITEM120076,ITEM030001,ITEM120058
Specified farm expenditures: farms reporting,DS_43,ITEM03028,ITEM05001,ITEM03001,ITEM12058,ITEM12074
Specified farm expenditures: farms reporting,DS_44,ITEM07001,ITEM07049,ITEM03001,ITEM03002,ITEM01003
Specified farm expenditures: farms reporting,DS_45,FILE,DC,STATE,COUNTY,NAME
Specified farm expenditures: farms reporting,DS_46,STATEICP,COUNTYICP,NAME,LEVEL,STATEFIP
"Specified farm expenditures: machine hire, $",DS_1,STATE,COUNTY,NAME,FAVAL850,FAVAL860
"Specified farm expenditures: machine hire, $",DS_2,FILE,MD,IA,STATE,COUNTY
"Specified farm expenditures: machine hire, $",DS_3,FILE,MD,IA,STATE,COUNTY
"Specified farm expenditures: machine hire, $",DS_4,FILE,MD,IA,STATE,COUNTY
"Specified farm expenditures: machine hire, $",DS_5,EQUIPVAL,FARMVAL,FARMOUT,LIVSTOCK,FILE
"Specified farm expenditures: machine hire, $",DS_6,EQUIPVAL,LIVSTOCK,FARMOUT,FARMVAL,FARMSIZE
"Specified farm expenditures: machine hire, $",DS_7,FARMOWN,EQUIPVAL,LIVSTOCK,FARMRENT,FARMSIZE
"Specified farm expenditures: machine hire, $",DS_8,FARMBUI,FARMEQUI,LIVSTOCK,FARMSIZE,TFARMHOM
"Specified farm expenditures: machine hire, $",DS_9,FEEDEXP,FARMBUI,FARBUI00,FARMEQUI,FARMEQ00
"Specified farm expenditures: machine hire, $",DS_10,VAR139,VAR142,VAR312,VAR314,VAR24
"Specified farm expenditures: machine hire, $",DS_11,VAR24,VAR25,VAR26,VAR49,VAR439
"Specified farm expenditures: machine hire, $",DS_12,VAR178,VAR180,VAR182,VAR184,VAR125
"Specified farm expenditures: machine hire, $",DS_13,VAR1007,VAR1012,VAR1009,VAR1010,VAR1011
"Specified farm expenditures: machine hire, $",DS_14,VAR1560,VAR1552,VAR1553,VAR1556,VAR1558
"Specified farm expenditures: machine hire, $",DS_15,VAR20,VAR344,VAR26,VAR27,VAR21
"Specified farm expenditures: machine hire, $",DS_16,VAR570,VAR574,VAR577,VAR568,VAR572
"Specified farm expenditures: machine hire, $",DS_17,VAR2205,VAR2206,VAR2241,VAR2242,VAR2042
"Specified farm expenditures: machine hire, $",DS_18,VAR570,VAR574,VAR577,VAR2205,VAR2206
"Specified farm expenditures: machine hire, $",DS_19,VAR2609,VAR2613,VAR2605,VAR2617,VAR2514
"Specified farm expenditures: machine hire, $",DS_20,VAR532,VAR126,VAR433,VAR554,VAR436
"Specified farm expenditures: machine hire, $",DS_21,VAR283,VAR282,VAR285,VAR295,VAR1694
"Specified farm expenditures: machine hire, $",DS_22,ITEM071,ITEM848,ITEM053,ITEM054,ITEM030
"Specified farm expenditures: machine hire, $",DS_23,VAR332,VAR428,VAR334,VAR417,VAR426
"Specified farm expenditures: machine hire, $",DS_24,I,II,STATE,COUNTY,NAME
"Specified farm expenditures: machine hire, $",DS_25,VAR309,VAR308,VAR311,VAR323,VAR307
"Specified farm expenditures: machine hire, $",DS_26,ITEM071,ITEM848,ITEM053,ITEM054,ITEM030
"Specified farm expenditures: machine hire, $",DS_27,VAR692,VAR691,VAR693,VAR694,VAR695
"Specified farm expenditures: machine hire, $",DS_28,ITEM071,ITEM848,ITEM053,ITEM054,ITEM030
"Specified farm expenditures: machine hire, $",DS_29,VAR332,VAR428,VAR334,VAR417,VAR426
"Specified farm expenditures: machine hire, $",DS_30,VAR244,VAR256,VAR667,VAR675,VAR255
"Specified farm expenditures: machine hire, $",DS_31,ITEM071,ITEM848,ITEM030,ITEM053,ITEM054
"Specified farm expenditures: machine hire, $",DS_32,VAR332,VAR428,VAR334,VAR417,VAR426
"Specified farm expenditures: machine hire, $",DS_33,ITEM05048,ITEM05049,ITEM01007,ITEM03013,ITEM06003
"Specified farm expenditures: machine hire, $",DS_34,ITEM05048,ITEM05049,ITEM01007,ITEM03013,ITEM06003
"Specified farm expenditures: machine hire, $",DS_35,ITEM071,ITEM848,ITEM030,ITEM053,ITEM054
"Specified farm expenditures: machine hire, $",DS_36,ITEM05048,ITEM05049,ITEM01007,ITEM03013,ITEM06003
"Specified farm expenditures: machine hire, $",DS_37,ITEM05048,ITEM05049,ITEM01007,ITEM03013,ITEM06003
"Specified farm expenditures: machine hire, $",DS_38,ITEM071,ITEM848,ITEM030,ITEM053,ITEM054
"Specified farm expenditures: machine hire, $",DS_39,ITEM16013,ITEM16004,ITEM01006,ITEM01003,ITEM05003
"Specified farm expenditures: machine hire, $",DS_40,ITEM16013,ITEM16004,ITEM01006,ITEM01003,ITEM05003
"Specified farm expenditures: machine hire, $",DS_41,ITEM16013,ITEM16004,ITEM01006,ITEM01003,ITEM05003
"Specified farm expenditures: machine hire, $",DS_42,ITEM030034,ITEM030035,ITEM010031,ITEM020003,ITEM030003
"Specified farm expenditures: machine hire, $",DS_43,ITEM12011,ITEM01032,ITEM03003,ITEM12103,ITEM01007
"Specified farm expenditures: machine hire, $",DS_44,ITEM07002,ITEM07001,ITEM07003,ITEM01035,ITEM03001
"Specified farm expenditures: machine hire, $",DS_45,FILE,DC,STATE,COUNTY,NAME
"Specified farm expenditures: machine hire, $",DS_46,STATEICP,COUNTYICP,NAME,LEVEL,STATEFIP
"Specified farm expenditures: hired labor, $",DS_1,STATE,COUNTY,NAME,FAVAL850,FAVAL860
"Specified farm expenditures: hired labor, $",DS_2,FILE,MD,IA,STATE,COUNTY
"Specified farm expenditures: hired labor, $",DS_3,FILE,MD,IA,STATE,COUNTY
"Specified farm expenditures: hired labor, $",DS_4,FILE,MD,IA,STATE,COUNTY
"Specified farm expenditures: hired labor, $",DS_5,EQUIPVAL,FARMVAL,FARMOUT,LIVSTOCK,FILE
"Specified farm expenditures: hired labor, $",DS_6,EQUIPVAL,LIVSTOCK,FARMOUT,FARMVAL,FARMSIZE
"Specified farm expenditures: hired labor, $",DS_7,FARMOWN,EQUIPVAL,LIVSTOCK,FARMRENT,FARMSIZE
"Specified farm expenditures: hired labor, $",DS_8,FARMLAB,FARMBUI,FARMEQUI,LIVSTOCK,FARMSIZE
"Specified farm expenditures: hired labor, $",DS_9,FEEDEXP,FAWAGES,FAREBORD,FARMBUI,FARBUI00
"Specified farm expenditures: hired labor, $",DS_10,VAR308,VAR309,VAR310,VAR139,VAR142
"Specified farm expenditures: hired labor, $",DS_11,VAR24,VAR25,VAR26,VAR308,VAR309
"Specified farm expenditures: hired labor, $",DS_12,VAR182,VAR178,VAR180,VAR184,VAR183
"Specified farm expenditures: hired labor, $",DS_13,VAR1007,VAR1009,VAR1008,VAR1012,VAR1010
"Specified farm expenditures: hired labor, $",DS_14,VAR1560,VAR1552,VAR1553,VAR1556,VAR1558
"Specified farm expenditures: hired labor, $",DS_15,VAR20,VAR344,VAR26,VAR27,VAR21
"Specified farm expenditures: hired labor, $",DS_16,VAR560,VAR566,VAR562,VAR570,VAR574
"Specified farm expenditures: hired labor, $",DS_17,VAR2205,VAR2206,VAR2241,VAR2242,VAR2042
"Specified farm expenditures: hired labor, $",DS_18,VAR560,VAR566,VAR562,VAR570,VAR574
"Specified farm expenditures: hired labor, $",DS_19,VAR2609,VAR2613,VAR2605,VAR2617,VAR2514
"Specified farm expenditures: hired labor, $",DS_20,VAR117,VAR116,VAR119,VAR109,VAR108
"Specified farm expenditures: hired labor, $",DS_21,VAR285,VAR284,VAR283,VAR295,VAR1696
"Specified farm expenditures: hired labor, $",DS_22,ITEM071,ITEM848,ITEM053,ITEM054,ITEM030
"Specified farm expenditures: hired labor, $",DS_23,VAR334,VAR333,VAR428,VAR417,VAR426
"Specified farm expenditures: hired labor, $",DS_24,I,II,STATE,COUNTY,NAME
"Specified farm expenditures: hired labor, $",DS_25,VAR311,VAR310,VAR312,VAR313,VAR314
"Specified farm expenditures: hired labor, $",DS_26,ITEM071,ITEM848,ITEM053,ITEM054,ITEM030
"Specified farm expenditures: hired labor, $",DS_27,VAR697,VAR696,VAR698,VAR699,VAR701
"Specified farm expenditures: hired labor, $",DS_28,ITEM071,ITEM848,ITEM053,ITEM054,ITEM030
"Specified farm expenditures: hired labor, $",DS_29,VAR334,VAR333,VAR428,VAR417,VAR426
"Specified farm expenditures: hired labor, $",DS_30,VAR677,VAR258,VAR244,VAR676,VAR257
"Specified farm expenditures: hired labor, $",DS_31,ITEM071,ITEM848,ITEM030,ITEM053,ITEM054
"Specified farm expenditures: hired labor, $",DS_32,VAR334,VAR333,VAR428,VAR417,VAR426
"Specified farm expenditures: hired labor, $",DS_33,ITEM05044,ITEM05045,ITEM05046,ITEM05047,ITEM01007
"Specified farm expenditures: hired labor, $",DS_34,ITEM05044,ITEM05045,ITEM05046,ITEM05047,ITEM15016
"Specified farm expenditures: hired labor, $",DS_35,ITEM071,ITEM848,ITEM030,ITEM053,ITEM054
"Specified farm expenditures: hired labor, $",DS_36,ITEM05044,ITEM05045,ITEM05046,ITEM05047,ITEM01007
"Specified farm expenditures: hired labor, $",DS_37,ITEM05044,ITEM05045,ITEM05046,ITEM05047,ITEM15016
"Specified farm expenditures: hired labor, $",DS_38,ITEM071,ITEM848,ITEM030,ITEM053,ITEM054
"Specified farm expenditures: hired labor, $",DS_39,ITEM03028,ITEM03029,ITEM16147,ITEM16148,ITEM03030
"Specified farm expenditures: hired labor, $",DS_40,ITEM03028,ITEM03029,ITEM16147,ITEM16148,ITEM03030
"Specified farm expenditures: hired labor, $",DS_41,ITEM03028,ITEM03029,ITEM16147,ITEM16148,ITEM03030
"Specified farm expenditures: hired labor, $",DS_42,ITEM030028,ITEM030029,ITEM050001,ITEM050002,ITEM050003
"Specified farm expenditures: hired labor, $",DS_43,ITEM03028,ITEM03029,ITEM05001,ITEM05002,ITEM05003
"Specified farm expenditures: hired labor, $",DS_44,ITEM07002,ITEM07001,ITEM07003,ITEM07007,ITEM03047
"Specified farm expenditures: hired labor, $",DS_45,FILE,DC,STATE,COUNTY,NAME
"Specified farm expenditures: hired labor, $",DS_46,STATEICP,COUNTYICP,NAME,LEVEL,STATEFIP
"Specified farm expenditures: feed for livestock & poultry, $",DS_1,STATE,COUNTY,NAME,FAVAL850,FAVAL860
"Specified farm expenditures: feed for livestock & poultry, $",DS_2,POULTVAL,FILE,MD,IA,STATE
"Specified farm expenditures: feed for livestock & poultry, $",DS_3,LIVSTOCK,FILE,MD,IA,STATE
"Specified farm expenditures: feed for livestock & poultry, $",DS_4,LIVSTOCK,FILE,MD,IA,STATE
"Specified farm expenditures: feed for livestock & poultry, $",DS_5,LIVSTOCK,EQUIPVAL,FARMVAL,FARMOUT,FILE
"Specified farm expenditures: feed for livestock & poultry, $",DS_6,LIVSTOCK,EQUIPVAL,FARMOUT,POULTRY,OTHPOUL
"Specified farm expenditures: feed for livestock & poultry, $",DS_7,LIVSTOCK,FARMOWN,EQUIPVAL,FARMRENT,FARMSIZE
"Specified farm expenditures: feed for livestock & poultry, $",DS_8,LIVSTOCK,TOTVAL,FARMOUT,FARMBUI,FARMEQUI
"Specified farm expenditures: feed for livestock & poultry, $",DS_9,FEEDEXP,LIVSTOCK,LIVSTK00,POUPRVAL,POULTVAL
"Specified farm expenditures: feed for livestock & poultry, $",DS_10,VAR314,VAR26,VAR104,VAR22,VAR139
"Specified farm expenditures: feed for livestock & poultry, $",DS_11,VAR26,VAR22,VAR314,VAR24,VAR25
"Specified farm expenditures: feed for livestock & poultry, $",DS_12,VAR178,VAR130,VAR179,VAR180,VAR182
"Specified farm expenditures: feed for livestock & poultry, $",DS_13,VAR1007,VAR1012,VAR1001,VAR1002,VAR943
"Specified farm expenditures: feed for livestock & poultry, $",DS_14,VAR1560,VAR1552,VAR1553,VAR1556,VAR1558
"Specified farm expenditures: feed for livestock & poultry, $",DS_15,VAR20,VAR344,VAR26,VAR27,VAR21
"Specified farm expenditures: feed for livestock & poultry, $",DS_16,VAR568,VAR567,VAR570,VAR574,VAR577
"Specified farm expenditures: feed for livestock & poultry, $",DS_17,VAR2046,VAR2234,VAR2050,VAR2259,VAR2021
"Specified farm expenditures: feed for livestock & poultry, $",DS_18,VAR568,VAR2046,VAR2234,VAR2050,VAR567
"Specified farm expenditures: feed for livestock & poultry, $",DS_19,VAR2609,VAR2613,VAR2605,VAR2617,VAR2514
"Specified farm expenditures: feed for livestock & poultry, $",DS_20,VAR524,VAR550,VAR523,VAR456,VAR548
"Specified farm expenditures: feed for livestock & poultry, $",DS_21,VAR287,VAR289,VAR286,VAR288,VAR283
"Specified farm expenditures: feed for livestock & poultry, $",DS_22,ITEM062,ITEM063,ITEM068,ITEM740,ITEM741
"Specified farm expenditures: feed for livestock & poultry, $",DS_23,VAR326,VAR417,VAR426,VAR328,VAR424
"Specified farm expenditures: feed for livestock & poultry, $",DS_24,I,II,STATE,COUNTY,NAME
"Specified farm expenditures: feed for livestock & poultry, $",DS_25,VAR319,VAR318,VAR309,VAR311,VAR323
"Specified farm expenditures: feed for livestock & poultry, $",DS_26,ITEM062,ITEM063,ITEM068,ITEM740,ITEM741
"Specified farm expenditures: feed for livestock & poultry, $",DS_27,VAR688,VAR690,VAR687,VAR334,VAR689
"Specified farm expenditures: feed for livestock & poultry, $",DS_28,ITEM062,ITEM063,ITEM068,ITEM740,ITEM741
"Specified farm expenditures: feed for livestock & poultry, $",DS_29,VAR326,VAR417,VAR426,VAR328,VAR424
"Specified farm expenditures: feed for livestock & poultry, $",DS_30,VAR646,VAR648,VAR246,VAR645,VAR655
"Specified farm expenditures: feed for livestock & poultry, $",DS_31,ITEM062,ITEM063,ITEM068,ITEM740,ITEM741
"Specified farm expenditures: feed for livestock & poultry, $",DS_32,VAR326,VAR417,VAR426,VAR328,VAR424
"Specified farm expenditures: feed for livestock & poultry, $",DS_33,ITEM05014,ITEM05015,ITEM05012,ITEM05013,ITEM05024
"Specified farm expenditures: feed for livestock & poultry, $",DS_34,ITEM05014,ITEM05015,ITEM05012,ITEM05013,ITEM05024
"Specified farm expenditures: feed for livestock & poultry, $",DS_35,ITEM062,ITEM063,ITEM068,ITEM740,ITEM741
"Specified farm expenditures: feed for livestock & poultry, $",DS_36,ITEM05014,ITEM05015,ITEM05012,ITEM05013,ITEM05024
"Specified farm expenditures: feed for livestock & poultry, $",DS_37,ITEM05014,ITEM05015,ITEM05012,ITEM05013,ITEM05024
"Specified farm expenditures: feed for livestock & poultry, $",DS_38,ITEM062,ITEM063,ITEM068,ITEM740,ITEM741
"Specified farm expenditures: feed for livestock & poultry, $",DS_39,ITEM03006,ITEM03007,ITEM03004,ITEM03005,ITEM16131
"Specified farm expenditures: feed for livestock & poultry, $",DS_40,ITEM03006,ITEM03007,ITEM03004,ITEM03005,ITEM16131
"Specified farm expenditures: feed for livestock & poultry, $",DS_41,ITEM03006,ITEM03007,ITEM03004,ITEM03005,ITEM16131
"Specified farm expenditures: feed for livestock & poultry, $",DS_42,ITEM030006,ITEM030007,ITEM120045,ITEM020060,ITEM020061
"Specified farm expenditures: feed for livestock & poultry, $",DS_43,ITEM12062,ITEM12063,ITEM03006,ITEM03007,ITEM12060
"Specified farm expenditures: feed for livestock & poultry, $",DS_44,ITEM03027,ITEM03028,ITEM03029,ITEM03030,ITEM03019
"Specified farm expenditures: feed for livestock & poultry, $",DS_45,FILE,DC,STATE,COUNTY,NAME
"Specified farm expenditures: feed for livestock & poultry, $",DS_46,STATEICP,COUNTYICP,NAME,LEVEL,STATEFIP
"Specified farm expenditures: livestock & poultry purchased, $",DS_1,STATE,COUNTY,NAME,FAVAL850,FAVAL860
"Specified farm expenditures: livestock & poultry purchased, $",DS_2,POULTVAL,FILE,MD,IA,STATE
"Specified farm expenditures: livestock & poultry purchased, $",DS_3,LIVSTOCK,FILE,MD,IA,STATE
"Specified farm expenditures: livestock & poultry purchased, $",DS_4,LIVSTOCK,FILE,MD,IA,STATE
"Specified farm expenditures: livestock & poultry purchased, $",DS_5,LIVSTOCK,EQUIPVAL,FARMVAL,FARMOUT,FILE
